sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;wheelSpeed;
1562328527;284291;1562328527;284301;1562328527;284219;0;
1562328527;294658;1562328527;294675;1562328527;294538;0;
1562328527;304574;1562328527;304592;1562328527;304456;0;
1562328527;314564;1562328527;314576;1562328527;314475;0;
1562328527;324563;1562328527;324573;1562328527;324494;0;
1562328527;334434;1562328527;334451;1562328527;334313;0;
1562328527;344620;1562328527;344632;1562328527;344531;0;
1562328527;354525;1562328527;354535;1562328527;354450;0;
1562328527;364383;1562328527;364401;1562328527;364269;0;
1562328527;374612;1562328527;374629;1562328527;374488;0;
1562328527;384651;1562328527;384668;1562328527;384506;0;
1562328527;394610;1562328527;394621;1562328527;394525;0;
1562328527;404529;1562328527;404541;1562328527;404444;0;
1562328527;414517;1562328527;414535;1562328527;414363;0;
1562328527;424627;1562328527;424644;1562328527;424482;0;
1562328527;434580;1562328527;434592;1562328527;434500;0;
1562328527;444308;1562328527;444319;1562328527;444219;0;
1562328527;454566;1562328527;454583;1562328527;454438;0;
1562328527;464573;1562328527;464591;1562328527;464456;0;
1562328527;474555;1562328527;474567;1562328527;474475;0;
1562328527;484602;1562328527;484614;1562328527;484494;0;
1562328527;494390;1562328527;494401;1562328527;494313;0;
1562328527;504605;1562328527;504615;1562328527;504531;0;
1562328527;514529;1562328527;514540;1562328527;514450;0;
1562328527;524385;1562328527;524402;1562328527;524269;0;
1562328527;534618;1562328527;534635;1562328527;534488;0;
1562328527;544628;1562328527;544646;1562328527;544507;0;
1562328527;554642;1562328527;554660;1562328527;554525;0;
1562328527;564556;1562328527;564573;1562328527;564444;0;
1562328527;574498;1562328527;574514;1562328527;574363;0;
1562328527;584566;1562328527;584578;1562328527;584481;0;
1562328527;594579;1562328527;594591;1562328527;594500;0;
1562328527;604300;1562328527;604311;1562328527;604219;0;
1562328527;614524;1562328527;614536;1562328527;614438;0;
1562328527;624578;1562328527;624595;1562328527;624457;0;
1562328527;634606;1562328527;634623;1562328527;634476;0;
1562328527;644577;1562328527;644589;1562328527;644494;0;
1562328527;654420;1562328527;654431;1562328527;654315;0;
1562328527;664503;1562328527;664513;1562328527;664431;0;
1562328527;674547;1562328527;674558;1562328527;674450;0;
1562328527;684344;1562328527;684354;1562328527;684271;0;
1562328527;694560;1562328527;694570;1562328527;694488;0;
1562328527;704600;1562328527;704612;1562328527;704507;0;
1562328527;714611;1562328527;714622;1562328527;714525;0;
1562328527;724547;1562328527;724559;1562328527;724444;0;
1562328527;734438;1562328527;734448;1562328527;734363;0;
1562328527;744599;1562328527;744617;1562328527;744481;0;
1562328527;754603;1562328527;754615;1562328527;754500;0;
1562328527;764333;1562328527;764350;1562328527;764219;0;
1562328527;774565;1562328527;774582;1562328527;774438;0;
1562328527;784573;1562328527;784591;1562328527;784456;0;
1562328527;794610;1562328527;794627;1562328527;794475;0;
1562328527;804577;1562328527;804588;1562328527;804494;0;
1562328527;814459;1562328527;814476;1562328527;814313;0;
1562328527;824548;1562328527;824565;1562328527;824431;0;
1562328527;834569;1562328527;834586;1562328527;834450;0;
1562328527;844385;1562328527;844402;1562328527;844269;0;
1562328527;854610;1562328527;854627;1562328527;854488;0;
1562328527;864586;1562328527;864598;1562328527;864506;0;
1562328527;874663;1562328527;874681;1562328527;874525;0;
1562328527;884528;1562328527;884539;1562328527;884444;0;
1562328527;894466;1562328527;894478;1562328527;894363;0;
1562328527;904598;1562328527;904615;1562328527;904482;0;
1562328527;914640;1562328527;914657;1562328527;914500;0;
1562328527;924316;1562328527;924328;1562328527;924219;0;
1562328527;934510;1562328527;934520;1562328527;934438;0;
1562328527;944580;1562328527;944597;1562328527;944457;0;
1562328527;954597;1562328527;954614;1562328527;954476;0;
1562328527;964588;1562328527;964600;1562328527;964495;0;
1562328527;974386;1562328527;974396;1562328527;974313;0;
1562328527;984559;1562328527;984576;1562328527;984432;0;
1562328527;994589;1562328527;994606;1562328527;994451;0;
1562328528;4362;1562328528;4373;1562328528;4270;0;
1562328528;14588;1562328528;14598;1562328528;14488;0;
1562328528;24600;1562328528;24609;1562328528;24507;0;
1562328528;34615;1562328528;34625;1562328528;34525;0;
1562328528;44520;1562328528;44530;1562328528;44445;0;
1562328528;54468;1562328528;54479;1562328528;54363;0;
1562328528;64546;1562328528;64552;1562328528;64482;0;
1562328528;74577;1562328528;74584;1562328528;74501;0;
1562328528;84307;1562328528;84314;1562328528;84219;0;
1562328528;94363;1562328528;94379;1562328528;94239;0;
1562328528;104570;1562328528;104585;1562328528;104457;0;
1562328528;114613;1562328528;114629;1562328528;114475;0;
1562328528;124634;1562328528;124652;1562328528;124495;0;
1562328528;134443;1562328528;134459;1562328528;134314;0;
1562328528;144515;1562328528;144525;1562328528;144431;0;
1562328528;154548;1562328528;154559;1562328528;154450;0;
1562328528;164358;1562328528;164369;1562328528;164269;0;
1562328528;174573;1562328528;174583;1562328528;174489;0;
1562328528;184606;1562328528;184617;1562328528;184507;0;
1562328528;194509;1562328528;194520;1562328528;194426;0;
1562328528;204531;1562328528;204542;1562328528;204444;0;
1562328528;214468;1562328528;214479;1562328528;214363;0;
1562328528;224564;1562328528;224575;1562328528;224482;0;
1562328528;234592;1562328528;234603;1562328528;234500;0;
